5487,42343007,snomed
5487,38341003,snomed
5487,20741006,snomed
5487,52254009,snomed
5487,I50.22,icd10
5487,I50.33,icd10
5487,I50.30,icd10
5487,I50.42,icd10
5487,I50.23,icd10
5487,I50.20,icd10
5487,I50.31,icd10
5487,I50.43,icd10
5487,I50.3,icd10
5487,I50.32,icd10
5487,I50.4,icd10
5487,I50.40,icd10
5487,I50.41,icd10
5487,I50.21,icd10
5487,I50.2,icd10
5487,N04.9,icd10
5487,Z87.441,icd10
5487,N04.8,icd10
5487,N04,icd10
36118,78314001,snomed
36118,66931009,snomed
36118,2089002,snomed
36118,32369003,snomed
36118,Q78.0,icd10
36118,E83.52,icd10
36118,M88.832,icd10
36118,M88.862,icd10
36118,M88.1,icd10
36118,M88.842,icd10
36118,M88.839,icd10
36118,M88.88,icd10
36118,M88.83,icd10
36118,M88.871,icd10
36118,M88.819,icd10
36118,M88.9,icd10
36118,M88.811,icd10
36118,M88.86,icd10
36118,M88.879,icd10
36118,M88.8,icd10
36118,M88,icd10
36118,M88.812,icd10
36118,M88.841,icd10
36118,M88.84,icd10
36118,M88.861,icd10
36118,M88.872,icd10
36118,M88.81,icd10
36118,M88.849,icd10
36118,M88.869,icd10
36118,M88.87,icd10
36118,M88.831,icd10
114979,235595009,snomed
114979,53132006,snomed
114979,16331000,snomed
114979,51868009,snomed
114979,K21,icd10
114979,R12,icd10
114979,K26,icd10
114979,K26.9,icd10
4603,14669001,snomed
4603,90688005,snomed
4603,42343007,snomed
4603,19242006,snomed
4603,38341003,snomed
4603,389026000,snomed
4603,19943007,snomed
4603,20741006,snomed
4603,52254009,snomed
4603,N17.8,icd10
4603,N17.9,icd10
4603,N17,icd10
4603,I50.22,icd10
4603,I50.33,icd10
4603,I50.30,icd10
4603,I50.42,icd10
4603,I50.23,icd10
4603,I50.20,icd10
4603,I50.31,icd10
4603,I50.43,icd10
4603,I50.3,icd10
4603,I50.32,icd10
4603,I50.4,icd10
4603,I50.40,icd10
4603,I50.41,icd10
4603,I50.21,icd10
4603,I50.2,icd10
4603,J81,icd10
4603,R18,icd10
4603,R18.8,icd10
4603,K74.6,icd10
4603,P78.81,icd10
4603,K74.69,icd10
4603,K74.60,icd10
4603,N04.9,icd10
4603,Z87.441,icd10
4603,N04.8,icd10
4603,N04,icd10
41126,38103000,snomed
2556,191809008,snomed
2556,191736004,snomed
2556,267382005,snomed
2556,35489007,snomed
2556,52448006,snomed
2556,F42,icd10
2556,F42.8,icd10
2556,F42.9,icd10
2556,F32.89,icd10
2556,F32.8,icd10
2556,F03.90,icd10
2556,F03.9,icd10
2556,F03,icd10
7454,56038003,snomed
7454,87628006,snomed
